"","airport","lat","long"
"161","JMS",46.92971944,-98.67819528
"162","JNU",58.35496194,-134.5762764
"163","KOA",19.73876583,-156.0456314
"164","KTN",55.35556861,-131.71374
"165","LAN",42.7787,-84.58735806
"166","LAR",41.31205,-105.6749864
"167","LAS",36.08036111,-115.1523333
"168","LAW",34.56771444,-98.41663667
"169","LAX",33.94253611,-118.4080744
"170","LBB",33.66363889,-101.8227778
"171","LCH",30.1260975,-93.22340361
"172","LEX",38.03697222,-84.60538889
"173","LFT",30.20527972,-91.987655
"174","LGA",40.77724306,-73.87260917
"175","LGB",33.81772222,-118.1516111
"176","LIH",21.97598306,-159.3389581
"177","LIT",34.72939611,-92.22424556
"178","LNK",40.85097222,-96.75925
"179","LRD",27.54373861,-99.46154361
"180","LSE",43.87937972,-91.25653778
"181","LWS",46.37449806,-117.0153944
"182","MAF",31.94252778,-102.2019139
"183","MBS",43.53291472,-84.07964722
"184","MCI",39.29760528,-94.71390556
"185","MCN",32.69284944,-83.64921083
"186","MCO",28.42888889,-81.31602778
"187","MDT",40.19349528,-76.76340361
"188","MDW",41.7859825,-87.75242444
"189","MEI",32.33313333,-88.75120556
"190","MEM",35.04241667,-89.97666667
"191","MFE",26.17583333,-98.23861111
"192","MFR",42.37422778,-122.8734978
"193","MGM",32.30064417,-86.39397611
"194","MHK",39.14096722,-96.67083278
"195","MHT",42.93451639,-71.43705583
"196","MIA",25.79325,-80.29055556
"197","MKE",42.94722222,-87.89658333
"198","MKG",43.16948806,-86.23822306
"199","MLB",28.10275,-80.64580556
"200","MLI",41.44852639,-90.50753917
"201","MLU",32.51086556,-92.03768778
"202","MMH",37.62404861,-118.8377722
"203","MOB",30.69141667,-88.24283333
"204","MOT",48.25937778,-101.2803339
"205","MQT",46.353639,-87.395361
"206","MRY",36.5869825,-121.8429478
"207","MSN",43.13985778,-89.33751361
"208","MSO",46.91630556,-114.0905556
"209","MSP",44.88054694,-93.2169225
"210","MSY",29.99338889,-90.25802778
"211","MTJ",38.50886722,-107.8938333
"212","MYR",33.67975,-78.92833333
"213","OAJ",34.82916444,-77.61213778
"214","OAK",37.72129083,-122.2207167
"215","OGG",20.89864972,-156.4304578
"216","OKC",35.39308833,-97.60073389
"217","OMA",41.30251861,-95.89417306
"218","OME",64.51220222,-165.4452458
"219","ONT",34.056,-117.6011944
"220","ORD",41.979595,-87.90446417
"221","ORF",36.89461111,-76.20122222
"222","ORH",42.26733944,-71.87570944
"223","OTH",43.41713889,-124.2460278
"224","OTZ",66.88467694,-162.5985497
"225","PAH",37.06083333,-88.77375
"226","PBI",26.68316194,-80.09559417
"227","PDX",45.58872222,-122.5975
"228","PHF",37.13189556,-76.4929875
"229","PHL",39.87195278,-75.24114083
"230","PHX",33.43416667,-112.0080556
"231","PIA",40.66424333,-89.69330556
"232","PIB",31.46714944,-89.33705778
"233","PIH",42.91130556,-112.5958611
"234","PIT",40.49146583,-80.23287083
"235","PLN",45.5709275,-84.796715
"236","PNS",30.47330556,-87.18744444
"237","PPG",14.33102278,-170.7105258
"238","PSC",46.26468028,-119.1190292
"239","PSE",18.00830278,-66.56301194
"240","PSG",56.80165194,-132.9452781
"241","PSP",33.82921556,-116.5062531
"242","PUB",38.28908722,-104.4965722
"243","PVD",41.72399917,-71.42822111
"244","PWM",43.64616667,-70.30875
"245","RAP",44.04532139,-103.0573708
"246","RDD",40.50898361,-122.2934019
"247","RDM",44.25406722,-121.1499633
"248","RDU",35.87763889,-78.78747222
"249","RHI",45.63119306,-89.46745361
"250","RIC",37.50516667,-77.31966667
"251","RKS",41.5942175,-109.0651928
"252","RNO",39.49857611,-119.7680647
"253","ROA",37.32546833,-79.97542833
"254","ROC",43.11886611,-77.67238389
"255","ROW",33.30155556,-104.5305556
"256","RST",43.90882639,-92.49798722
"257","RSW",26.53616667,-81.75516667
"258","SAF",35.61677778,-106.0881389
"259","SAN",32.73355611,-117.1896567
"260","SAT",29.53369444,-98.46977778
"261","SAV",32.12758333,-81.20213889
"262","SBA",34.42621194,-119.8403733
"263","SBN",41.70895361,-86.31847417
"264","SBP",35.23705806,-120.6423931
"265","SCC",70.19475583,-148.4651608
"266","SCE",40.851206,-77.846302
"267","SDF",38.17438889,-85.736
"268","SEA",47.44898194,-122.3093131
"269","SFO",37.61900194,-122.3748433
"270","SGF",37.24432611,-93.38685806
"271","SGU",37.09058333,-113.5930556
"272","SHV",32.4466275,-93.82559833
"273","SIT",57.04713806,-135.3615983
"274","SJC",37.36186194,-121.9290089
"275","SJT",31.35775,-100.4963056
"276","SJU",18.43941667,-66.00183333
"277","SLC",40.78838778,-111.9777731
"278","SMF",38.69542167,-121.5907669
"279","SMX",34.89924833,-120.4575825
"280","SNA",33.67565861,-117.8682225
"281","SPI",39.84395194,-89.67761861
"282","SPS",33.98879611,-98.49189333
"283","SRQ",27.39533333,-82.55411111
"284","STC",45.54532417,-94.05833667
"285","STL",38.74768694,-90.35998972
"286","STT",18.33730556,-64.97336111
"287","STX",17.70188889,-64.79855556
"288","SUN",43.50484139,-114.2965903
"289","SUX",42.40260333,-96.38436694
"290","SWF",41.50409361,-74.10483833
"291","SYR",43.11118694,-76.10631056
"292","TLH",30.39652778,-84.35033333
"293","TOL",41.58680556,-83.80783333
"294","TPA",27.97547222,-82.53325
"295","TRI",36.47521417,-82.40742056
"296","TTN",40.27669111,-74.81346833
"297","TUL",36.19837222,-95.88824167
"298","TUS",32.11608333,-110.9410278
"299","TVC",44.74144472,-85.582235
"300","TWF",42.48180389,-114.4877356
"301","TXK",33.45370806,-93.99102
"302","TYR",32.35413889,-95.40238611
"303","TYS",35.81248722,-83.99285583
"304","VEL",40.44090167,-109.5099203
"305","VLD",30.7825,-83.27672222
"306","VPS",30.48325,-86.5254
"307","WRG",56.48432583,-132.3698242
"308","XNA",36.28186944,-94.30681111
"309","YAK",59.50336056,-139.6602261
"310","YUM",32.65658333,-114.6059722
